m,y,p,c,u,lat,lng,t
1000,1851,"Gütersloh","DE","11466",51.91667,8.383330000000001,"H3/4"
65,1851,"Quincay","FR","22363",46.6,0.25,"L6"
22700,1852,"Mez̦-Madaras","RO","16628",46.5,25.73333,"L3.7"
7000,1852,"Borkut","UA","5113",48.15,24.28333,"L5"
1500,1852,"Bustee","IN","5181",26.78333,82.83333,"Aubrite"
18000,1853,"Girgenti","IT","10917",37.31667,13.56667,"L6"
6930,1853,"Segowlie","IN","23476",26.75,84.78333000000001,"LL6"
577,1853,"Duruma","KE","7752",-4,39.5,"L6"
1862,1854,"Linum","DE","14655",52.75,12.9,"L6"
7250,1855,"Bremerv̦rde","DE","5135",53.4,9.1,"H/L3.9"
6000,1855,"Oesel","EE","17989",58.5,23,"L6"
2006,1855,"Legnano","IT","12758",45.25,11.25,"Pseudometeorite"
1800,1855,"Petersburg","US","18801",35.3,-86.63333,"Eucrite-pmict"
1250,1855,"Sabetmahet","IN","22792",27.43333,82.08333,"H5"
700,1855,"St. Denis Westrem","BE","23083",51.05,3.75,"L6"
146,1855,"Avilez","MX","4907",25,-103.5,"H"
11800,1856,"Trenzano","IT","24046",45.46667,10,"H3/4"
35,1855,"Igast","EE","12001",57.83333,26.26667,"Pseudometeorite"
205,1856,"Oviedo","ES","18058",43.4,-5.86667,"H5"
77600,1857,"Parnallee","IN","18108",9.233330000000001,78.34999999999999,"LL3.6"
16250,1857,"Ohaba","RO","17995",46.06667,23.58333,"H5"
6045,1857,"Quenggouk","MM","22358",17.76667,95.18333,"H4"
3000,1857,"Kaba","HU","12218",47.35,21.3,"CV3"
1500,1857,"Stavropol","RU","23717",45.05,41.98333,"L6"
1000,1857,"Heredia","CR","11875",10,-84.09999999999999,"H5"
125,1857,"Les Ormes","FR","12769",48.35,3.25,"L6"
144000,1858,"Molina","ES","16715",38.11667,-1.16667,"H5"
50000,1858,"Ausson","FR","4903",43.08333,0.58333,"L5"
10500,1859,"Pampanga","PH","18093",15.08333,120.7,"L5"
577,1858,"Kakowa","RO","12231",45.13333,21.66667,"L6"
2000,1859,"Beuste","FR","5034",43.21667,-0.23333,"L5"
680,1859,"Harrison County","US","11842",38.25,-86.16667,"L6"
13.9,1859,"Bethlehem","US","5032",42.53333,-73.83333,"H"
230000,1860,"New Concord","US","16953",40,-81.76667000000001,"L6"
54,1860,"Sologne","FR","23663",47.36667,1.73333,"H5"
