m,y,p,c,u,lat,lng,t
20000,1966,"Seoni","IN","23500",21.68389,79.50082999999999,"H6"
2968,1966,"Pavel","BG","18173",43.46667,25.51667,"H5"
1700,1966,"Umm Ruaba","SD","24118",13.46667,31.21667,"L5"
150000,1967,"Wiluna","AU","24281",-26.59278,120.32833,"H5"
10000,1967,"Tugalin-Bulen","MN","24062",45.46667,105.38333,"H6"
2500,1967,"Tathlith","SA","23885",19.38333,43.73333,"L6"
2000,1967,"Parambu","BR","18102",-6.23333,-40.7,"LL5"
230,1967,"Denver","US","6660",39.7825,-104.93056,"L6"
67.40000000000001,1967,"Kingai","SD","12316",11.63333,24.68333,"H6"
0.1,1967,"Vilna","CA","24183",54.225,-111.69167,"L5"
25250,1968,"Juromenha","PT","12213",38.74028,-7.27,"Iron, IIIAB"
460,1968,"San Pedro Jacuaro","MX","34063",19.76667,-100.65,"LL6"
283.3,1968,"Schenectady","US","23458",42.86083,-73.95028000000001,"H5"
134,1968,"Awere","UG","4910",2.71667,32.83333,"L4"
13.1,1968,"Piancaldoli","IT","18813",44.24417,11.50222,"LL3.4"
2000000,1969,"Allende","MX","2278",26.96667,-105.31667,"CV3"
100000,1969,"Murchison","AU","16875",-36.61667,145.2,"CM2"
5460,1969,"Bovedy","GB","5121",54.56667,-6.33333,"L3"
4375,1969,"Patora","IN","18112",20.93694,82.05,"H6"
815.3,1969,"Suchy Dul","CZ","23737",50.53806,16.26333,"L6"
600,1969,"Andreevka","UA","2296",48.7,37.5,"L3"
17000,1970,"Lost City","US","14711",36.00833,-95.15000000000001,"H5"
5500,1970,"Dongtai","CN","7708",32.91667,120.78333,"LL6"
4590,1970,"Ucera","VE","24097",11.05,-69.84999999999999,"H5"
3230,1970,"Dwaleni","SZ","7755",-27.2,31.31667,"H4-6"
3000,1970,"Tillaberi","NE","23999",14.25,1.53333,"L6"
2450,1970,"Nejo","ET","16941",9.5,35.33333,"L6"
2000,1970,"Malakal","SS","15394",9.5,31.75,"L5"
1500,1970,"Kiffa","MR","12303",16.58333,-11.33333,"H5"
13400,1971,"Kabo","NG","12220",11.85,8.216670000000001,"H4"
3900,1971,"Shuangyang","CN","23582",43.5,125.66667,"H5"
2500,1971,"Anlong","CN","2305",25.15,105.18333,"H5"
2500,1971,"Marilia","BR","15422",-22.25,-49.93333,"H4"
1544,1971,"Haver̦","FI","11859",60.24556,22.06194,"Ureilite"
350,1971,"Wethersfield (1971)","US","24250",41.7,-72.65000000000001,"L6"
177,1971,"Noventa Vicentina","IT","17930",45.29167,11.52722,"H4"
50000,1972,"Valera","VE","24149",9.31667,-70.62833000000001,"L5"
7000,1972,"Ipiranga","BR","12043",-25.5,-54.5,"H6"
288,1972,"Guibga","BF","11442",13.5,-0.68333,"L5"
4000,1973,"Lichtenberg","ZA","14646",-26.15,26.18333,"H6"
1400,1973,"Canon City","US","5253",38.47028,-105.24139,"H6"
56,1973,"San Juan Capistrano","US","23128",33.48472,-117.6625,"H6"
8000,1974,"Enshi","CN","10038",30.3,109.5,"H5"
4850,1974,"Mayo Belwa","NG","15451",8.966670000000001,12.08333,"Aubrite"
3618,1974,"Gorlovka","UA","10949",48.28333,38.08333,"H3.7"
2700,1974,"Naragh","IR","16909",33.75,51.5,"H6"
1000,1974,"Aioun el Atrouss","MR","423",16.39806,-9.57028,"Diogenite-pm"
483,1974,"Jolomba","AO","12199",-11.85,15.83333,"LL6"
50,1974,"Stratford","US","23728",41.2,-73.13333,"L6"
30000,1975,"Tuxtuac","MX","24086",21.66667,-103.36667,"LL5"
14250,1975,"Ningbo","CN","16980",29.86667,121.48333,"Iron, IVA"
10500,1975,"Tambakwatu","ID","23795",-7.75,112.76667,"L6"
7330,1975,"Ijopega","PG","12004",-6.03333,145.36667,"H6"
4000000,1976,"Jilin","CN","12171",44.05,126.16667,"H5"
45000,1976,"Dhajala","IN","6698",22.37778,71.42722000000001,"H3.8"
2600,1976,"Qingzhen","CN","18908",26.53333,106.46667,"EH3"
1914,1976,"Acapulco","MX","10",16.88333,-99.90000000000001,"Acapulcoite"
950,1976,"Junan","CN","12210",35.2,118.8,"L6"
642,1976,"Dowa","MW","7725",-13.66667,33.91667,"Stone-uncl"
605,1976,"Sheyang","CN","23531",33.65,120.06667,"L6"
465.5,1976,"Ruhobobo","UG","22780",-1.45,29.83333,"L6"
45.5,1976,"Grefsheim","NO","11196",60.66667,11,"L5"
75500,1977,"Xingyang","CN","24346",32.33333,114.31667,"H6"
17226,1977,"El Paso de Aguila","MX","45977",25.37,-97.37000000000001,"H5"
7500,1977,"Bo Xian","CN","5090",33.83333,115.83333,"LL3.9"
6000,1977,"Alta'ameem","IQ","2284",35.27333,44.21556,"LL5"
4576,1977,"Innisfree","CA","12039",53.415,-111.3375,"L5"
2500,1977,"Fuyang","CN","10840",32.9,115.9,"Stone-uncl"
1810,1977,"Changde","CN","5322",29.08333,111.75,"H5"
1300,1977,"Louisville","US","14716",38.25,-85.75,"L6"
1200,1977,"Iguaracu","BR","12003",-23.2,-51.83333,"H5"
23,1977,"Kutais","RU","12383",44.51667,39.3,"H5"
50000,1978,"Nuevo Mercurio","MX","17938",24.3,-102.13333,"H5"
4000,1978,"Chitenay","FR","5357",47.47083,0.97667,"L6"
498,1978,"Lishui","CN","14659",31.63333,118.98333,"L5"
20500,1979,"Jartai","CN","12074",39.7,105.8,"L6"
1600,1979,"Cilimus","ID","5364",-6.95,108.1,"L5"
5900,1980,"Xi Ujimgin","CN","24345",44.66667,117.5,"L/LL6-an"
2520,1980,"Lunan","CN","14754",24.8,103.3,"H6"
2000,1980,"Kaidun","YE","12228",15,48.3,"CR2"
1900,1980,"Guangrao","CN","11437",37.1,118.4,"L6"
1900,1980,"Richland Springs","US","22602",31.25,-99.03333000000001,"OC"
1100,1980,"Mianchi","CN","16631",34.8,111.7,"H5"
250000,1981,"Omolon","RU","18019",64.02,161.80833,"Pallasite, PMG"
93200,1981,"Machinga","MW","15371",-15.21222,35.24222,"L6"
50000,1981,"Akyumak","TR","433",39.91667,42.81667,"Iron, IVA"
34650,1981,"Gursum","ET","11465",9.366669999999999,42.41667,"H4/5"
18000,1981,"Dahmani","TN","5504",35.61667,8.83333,"LL6"
367,1981,"Chiang Khan","TH","5345",17.9,101.63333,"H6"
61.4,1981,"Salem","US","23107",44.97917,-122.96944,"L6"
2756,1982,"Wethersfield (1982)","US","24251",41.71056,-72.67361,"L6"
2449,1982,"Gujargaon","IN","11448",22.98333,76.05,"H5"
1275,1982,"Qidong","CN","18907",32.08333,121.5,"L/LL5"
100000,1983,"Kidairat","SD","12300",14,28,"H6"
67225,1983,"Rahimyar Khan","PK","31302",28.225,70.2,"L5"
4610,1983,"Ningqiang","CN","16981",32.925,105.90667,"C3-ung"
1443,1983,"Maryville","US","15436",35.8,-84.09999999999999,"L6"
100000,1984,"Gujba","NG","11449",11.49167,11.65833,"CBa"
32490,1984,"Jumapalo","ID","12209",-7.71667,111.2,"L6"
4162,1984,"Gashua","NG","44882",12.85,11.03333,"L6"
1455,1984,"Claxton","US","5374",32.1025,-81.87278000000001,"L6"
529,1984,"Nantong","CN","16907",32.11667,121.8,"H6"
488.1,1984,"Binningup","AU","5051",-33.15639,115.67639,"H5"
320,1984,"Aomori","JP","2313",40.81056,140.78556,"L6"
27.5,1984,"Tomiya","JP","24024",38.36667,140.86556,"H4/5"
45000,1985,"La Criolla","AR","12396",-31.23333,-58.16667,"L6"
20000,1985,"Ankhediya Mota","IN","2303",22.35556,73.575,"L4/5"
43,1985,"Salzwedel","DE","23114",52.75,11.05,"LL5"
260000,1986,"Suizhou","CN","23738",31.61667,113.46667,"L6"
68500,1986,"Kheri Maham","IN","12295",28.97083,76.32278,"L5"
50000,1986,"Wuan","CN","24340",36.75,114.25,"H6"
11510,1986,"Kokubunji","JP","12342",34.3,133.95,"L6"
10200,1986,"Raghunathpura","IN","22371",27.72528,76.465,"Iron, IIAB"
2232,1986,"Tianzhang","CN","23984",32.94667,118.99,"H5"
1282,1986,"Lanxi","CN","12464",46.24167,126.19611,"L6"
1215.5,1986,"Oued el Hadjar","MA","18050",30.18,-6.57717,"LL6"
430,1986,"Sayama","JP","23192",35.86667,139.4,"CM2"
113.4,1986,"Undulung","RU","24121",66.13889,124.76667,"L4"
14250,1987,"Laochenzhen","CN","12466",33.13333,115.16667,"H5"
3920,1988,"Chisenga","MW","5355",-10.05944,33.395,"Iron, IIIAB"
2936,1988,"Chela","TZ","5338",-3.66667,32.5,"H4"
1430,1988,"Palca de Aparzo","AR","18074",-23.11667,-65.09999999999999,"L5"
1250,1988,"Trebbin","DE","24042",52.21667,13.16667,"LL6"
1025,1988,"Ceniceros","MX","5306",26.46667,-105.23333,"L3.7"
977,1988,"Torino","IT","24029",45.06667,7.66667,"H6"
40000,1989,"Sivas","TR","23617",39.82467,36.13583,"H6"
10000,1989,"El Idrissia","DZ","7807",34.41667,3.25,"L6"
7000,1989,"Sfax","TN","23512",34.75,10.71667,"L6"
1557,1989,"Bawku","GH","4976",11.08333,-0.18333,"LL5"
1000,1989,"Uchkuduk","UZ","24098",41.76667,62.51667,"L6"
630,1989,"Sixiangkou","CN","23619",32.43333,119.86667,"L5"
325000,1990,"Sterlitamak","RU","23724",53.66667,55.98333,"Iron, IIIAB"
17450,1990,"Quija","CN","22361",44.61667,126.13333,"H"
4720,1990,"Itqiy","EH","12058",26.59083,-12.95217,"EH7-an"
1504,1990,"Burnwell","US","5175",37.62194,-82.23721999999999,"H4-an"
670,1990,"Glanerbrug","NL","10923",52.2,6.86667,"L/LL5"
666.6,1990,"Magombedze","ZW","15387",-19.48333,31.65,"H3-5"
110000,1991,"Mount Tazerzait","NE","16804",18.7,4.8,"L5"
23680,1991,"Campos Sales","BR","5249",-7.03333,-40.16667,"L5"
1000,1991,"Tahara","JP","23784",34.72,137.305,"H4/5"
767,1991,"Glatton","GB","10930",52.45972,-0.3,"L6"
483.7,1991,"Noblesville","US","16985",40.08528,-86.05500000000001,"H4-6"
150000,1992,"Mbale","UG","15455",1.06667,34.16667,"L5/6"
12570,1992,"Peekskill","US","18782",41.28333,-73.91667,"H6"
6380,1992,"Mihonoseki","JP","16635",35.56833,133.22,"L6"
36900,1993,"Songyuan","CN","23668",45.25,125,"L6"
16700,1993,"Ban Rong Du","TH","4934",16.66667,101.18333,"Iron, ungrouped"
5000,1993,"El Tigre","MX","7819",19.96722,-103.05167,"L6"
866,1993,"Senboku","JP","23496",39.43833,140.51167,"H6"
40000,1994,"Lohawat","IN","14678",26.96556,72.62667,"Howardite"
25400,1994,"St-Robert","CA","23733",45.96861,-72.97806,"H5"
15500,1994,"Baszkówka","PL","4957",52.03333,20.93583,"L5"
12000,1994,"New Halfa","SD","16954",15.36667,35.68333,"L4"
1140,1994,"Devri-Khera","IN","6696",24.225,76.52500000000001,"L6"
469,1994,"Coleman","US","5401",43.76111,-84.50778,"L6"
128800,1995,"Dong Ujimqin Qi","CN","7706",45.5,119.03333,"Mesosiderite"
5000,1995,"Galkiv","UA","10850",51.68333,30.78333,"H4"
1710,1995,"Silao","MX","23594",20.93333,-101.38333,"H5"
420,1995,"Neagari","JP","16934",36.44917,136.46528,"L6"
189,1995,"P̩t̬lkol̩","NE","18800",14.052,0.42,"H5"
42000,1996,"Piplia Kalan","IN","18831",26.03472,73.94167,"Eucrite-mmict"
10200,1996,"Fermo","IT","10091",43.18111,13.75333,"H3-5"
2910,1996,"Guangmingshan","CN","11435",39.80417,122.76389,"H5"
800,1996,"Tsukuba","JP","24059",36.06333,140.145,"H5-6"
89.3,1996,"Turtle Lake","US","47343",45.34583,-92.05167,"L5"
100000,1997,"Juancheng","CN","12203",35.5,115.41667,"H5"
1551,1997,"Worden","US","24337",42.38467,-83.61150000000001,"L5"
1303.8,1997,"Vissannapeta","IN","24188",16.83333,80.75,"Eucrite-cm"
1100000,1998,"Kunya-Urgench","TM","12379",42.25,59.2,"H5"
71400,1998,"Portales Valley","US","18874",34.175,-103.295,"H6"
20000,1998,"Ourique","PT","18052",37.60833,-8.279999999999999,"H4"
7000,1998,"Dashoguz","TM","6604",41.98444,59.685,"H5"
3700,1998,"Chadong","CN","5313",28.53333,109.31667,"L6"
2587,1998,"Monahans (1998)","US","16719",31.60833,-102.85833,"H5"
680.5,1998,"Elbert","US","7822",39.24667,-104.58817,"LL6"
202.6,1998,"Kitchener","CA","12326",43.38333,-80.38333,"L6"
25000,1999,"Bilanga","BF","5045",12.45,-0.08333,"Diogenite"
10000,1999,"Djoumine","TN","7657",36.95,9.550000000000001,"H5-6"
1500,1999,"Katagum","NG","35465",11.33333,10.08333,"L6"
478,1999,"Sabrum","IN","22793",23.08333,91.66667,"LL6"
271.4,1999,"Leighlinbridge","IE","12759",52.66667,-6.96667,"L6"
136,1999,"Kobe","JP","12336",34.73333,135.16667,"CK4"
30,1999,"Dunbogan","AU","7743",-31.66667,152.83333,"L6"
10000,2000,"Tagish Lake","CA","23782",59.70444,-134.20139,"C2-ung"
5700,2000,"Yafa","YE","24351",13.71111,45.17,"H5"
633,2000,"Morávka","CZ","16742",49.6,18.53333,"H5"
19000,2001,"Beni M'hira","TN","5018",32.86667,10.8,"L6"
12500,2001,"Dergaon","IN","6664",26.68333,93.86667,"H5"
12000,2001,"Devgaon","IN","6694",19,81,"H3.8"
5300,2001,"Bukhara","UZ","30448",39.77978,64.60035000000001,"CV3"
700,2001,"Al Zarnkh","SD","447",13.66033,28.96,"LL5"
45300,2002,"Thuathe","LS","23976",-29.33333,27.58333,"H4/5"
19000,2002,"Kilabo","NG","12307",12.76667,9.800000000000001,"LL6"
6189,2002,"Neuschwanstein","DE","16950",47.525,10.80833,"EL6"
6000,2002,"Maromandia","MG","15430",-14.2,48.1,"L6"
678,2002,"Bhawad","IN","36591",26.50833,73.11528,"LL6"
252,2002,"Alby sur Ch̩ran","FR","458",45.82133,6.01533,"Eucrite-mmict"
237,2002,"San Michele","IT","31315",43.66667,13,"L6"
45000,2002,"Bensour","MA","5024",30,-7,"LL6"
19256,2003,"New Orleans","US","16960",29.94718,-90.10975999999999,"H5"
18000,2003,"Park Forest","US","18106",41.48472,-87.67917,"L5"
17000,2003,"Oum Dreyga","EH","31282",24.3,-13.1,"H3-5"
16820,2003,"Kasauli","IN","30740",29.58333,77.58333,"H4"
6669,2003,"Kendrapara","IN","12276",20.4625,86.70278,"H4-5"
4440,2003,"Ouadangou","BF","56729",12.9,0.08,"L5"
414,2003,"Hiroshima","JP","11889",34.45,132.38333,"H5"
167.7,2003,"Hoima","UG","44714",1.345,31.47278,"H6"
25000,2004,"Benguerir","MA","30443",32.25,-8.15,"LL6"
4629,2004,"Maigatari-Danduma","NE","30751",12.83333,9.383330000000001,"H5/6"
3500,2004,"Villalbeto de la Peña","ES","24179",42.8,-4.66667,"L6"
1600,2004,"Kaprada","IN","47357",20.33916,73.22329000000001,"L5/6"
960,2004,"Berthoud","US","47355",40.30583,-105.02325,"Eucrite-mmict"
180,2004,"Orlando","US","34489",28.5475,-81.36221999999999,"Eucrite"
29560,2006,"Bassikounou","MR","44876",15.78333,-5.9,"H5"
6800,2006,"Kavarpura","IN","47351",25.14333,75.81332999999999,"Iron, IIE-an"
4000,2006,"Werdama","LY","47344",32.79732,21.78713,"H5"
3763,2006,"Moss","NO","36592",59.43333,10.7,"CO3.6"
100,2006,"Jodiya","IN","47362",22.68,70.31332999999999,"L5"
100000,2007,"Chergach","ML","47347",23.69639,-5.01472,"H5"
70500,2007,"Mahadevpur","IN","47361",27.66667,95.78333000000001,"H4/5"
3396,2007,"Didim","TR","47350",37.35172,27.32997,"H3-5"
500,2007,"Puerto Lápice","ES","45984",39.35,-3.51667,"Eucrite-br"
478,2007,"Cali","CO","45976",3.405,-76.51000000000001,"H/L4"
342,2007,"Carancas","PE","45817",-16.66444,-69.04389000000001,"H4-5"
324,2007,"Bunburra Rockhole","AU","48653",-31.35,129.19,"Eucrite"
18.41,2007,"Red Canyon Lake","US","53502",38.13742,-119.75812,"H5"
110000,2008,"Sulagiri","IN","48951",12.66667,78.03333000000001,"LL6"
100000,2008,"Tamdakht","MA","48691",31.16333,-7.015,"H5"
41000,2008,"Buzzard Coulee","CA","48654",52.996,-109.84817,"H4"
6913,2008,"Pleşcoi","RO","51706",45.275,26.70972,"L5-6"
6580,2008,"Daule","EC","51559",-1.87089,-79.95756,"L5"
5760,2008,"Kemer","TR","53654",36.54194,29.41822,"L4"
4000,2008,"Santa Lucia (2008)","AR","50909",-31.535556,-68.48944400000001,"L6"
3950,2008,"Almahata Sitta","SD","48915",20.74575,32.41275,"Ureilite-an"
270,2008,"Berduc","AR","48975",-31.91,-58.32833,"L6"
9500,2009,"Ash Creek","US","48954",31.805,-97.01000000000001,"L6"
3667,2009,"Jesenice","SI","51589",46.42137,14.05217,"L6"
2139,2009,"Whetstone Mountains","US","49514",31.96185,-110.434183,"H5"
215,2009,"Grimsby","CA","50911",43.2,-79.61667,"H5"
25.81,2009,"Maribo","DK","48973",54.76183,11.46745,"CM2"
4300,2010,"Košice","SK","53810",48.76367,21.17633,"H5"
3584,2010,"Mifflin","US","52090",42.9075,-90.36556,"L5"
2500,2010,"Varre-Sai","BR","53633",-20.85001,-41.73356,"L5"
1600,2010,"Huaxi","CN","54719",26.46469,106.63241,"H5"
329.7,2010,"Lorton","US","52843",38.70066,-77.21163,"L6"
14200,2011,"Thika","KE","54493",-1.00278,37.15028,"L6"
7000,2011,"Tissint","MA","54823",29.48195,-7.61123,"Martian (shergottite)"
1066,2011,"Sołtmany","PL","53829",54.00883,22.005,"L6"
2900,2012,"Battle Mountain","US","56133",40.66813,-117.18913,"L6"
992.5,2012,"Sutter's Mill","US","55529",38.80389,-120.90806,"C"
190,2003,"Boumdeid","MR","57168",17.4264,-11.2229,"L6"
3600,2011,"Boumdeid","MR","57167",17.10496,-11.2048,"L6"
100000,2013,"Chelyabinsk","RU","57165",54.49,61.07,"L6"
