place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Bishunpur,Valid,LL3.15,1039,Fell,1895,5060,25.383330,82.600000
Bjelaja Zerkov,Valid,H6,1850,Fell,1796,5063,49.783330,30.166670
Bjurböle,Valid,L/LL4,330000,Fell,1899,5064,60.400000,25.800000
Black Moshannan Park,Valid,L5,705,Fell,1941,5065,40.916670,-78.083330
Blackwell,Valid,L5,2381,Fell,1906,5068,36.833330,-97.333330
Blanket,Valid,L6,5100,Fell,1909,5071,31.833330,-98.833330
Blansko,Valid,H6,470,Fell,1833,5072,49.366670,16.633330
Bloomington,Valid,LL6,67.8,Fell,1938,5076,40.480000,-89.004170
Bo Xian,Valid,LL3.9,7500,Fell,1977,5090,33.833330,115.833330
Bocas,Valid,L6,56,Fell,1804,5093,23.000000,-102.000000
Bogou,Valid,"Iron, IAB-MG",8800,Fell,1962,5097,12.500000,0.700000
Boguslavka,Valid,"Iron, IIAB",256000,Fell,1916,5098,44.550000,131.633330
Borgo San Donino,Valid,LL6,1676,Fell,1808,5110,44.866670,10.050000
Bori,Valid,L6,8600,Fell,1894,5111,21.950000,78.033330
Boriskino,Valid,CM2,1342,Fell,1930,5112,54.233330,52.483330
Borkut,Valid,L5,7000,Fell,1852,5113,48.150000,24.283330
Borodino,Valid,H5,500,Fell,1812,5114,55.466670,35.866670
Botschetschki,Valid,L4,614,Fell,1823,5117,51.333330,33.883330
Boumdeid (2003),Valid,L6,190,Fell,2003,57168,17.710670,-11.371500
Boumdeid (2011),Valid,L6,3599,Fell,2011,57167,17.174930,-11.341330
Bovedy,Valid,L3,5460,Fell,1969,5121,54.566670,-6.333330
Bradford Woods,Valid,L,762,Fell,1886,5128,40.500000,-80.083330
Braunau,Valid,"Iron, IIAB",39000,Fell,1847,5133,50.600000,16.300000
Breitscheid,Valid,H5,1500,Fell,1956,5134,50.666940,8.183610
Bremervörde,Valid,H/L3.9,7250,Fell,1855,5135,53.400000,9.100000
Brient,Valid,Eucrite-pmict,219,Fell,1933,5140,52.133330,59.316670
Bruderheim,Valid,L6,303000,Fell,1960,5156,53.900000,-112.883330
Bukhara,Valid,CV3,5300,Fell,2001,30448,39.779780,64.600350
Bulls Run,Valid,Iron?,2250,Fell,1964,5163,,
Bunburra Rockhole,Valid,Eucrite,324,Fell,2007,48653,-31.350000,129.190000
Bununu,Valid,Howardite,357,Fell,1942,5165,10.016670,9.583330
Bur-Gheluai,Valid,H5,120000,Fell,1919,5169,5.000000,48.000000
Burnwell,Valid,H4-an,1504,Fell,1990,5175,37.621940,-82.237220
Bursa,Valid,L6,25000,Fell,1946,5177,40.200000,29.233330
Buschhof,Valid,L6,5000,Fell,1863,5178,46.450000,25.783330
Bustee,Valid,Aubrite,1500,Fell,1852,5181,26.783330,82.833330
Butsura,Valid,H6,29000,Fell,1861,5183,27.083330,84.083330
Buzzard Coulee,Valid,H4,41000,Fell,2008,48654,52.996000,-109.848170
Cabezo de Mayo,Valid,L/LL6,25000,Fell,1870,5185,37.983330,-1.166670
Cabin Creek,Valid,"Iron, IIIAB",48500,Fell,1886,5186,35.500000,-93.500000
